IssueID	Category	SpecificIssue	ExpandedDescription	AcceptanceCriteria	Test	Solution1	Solution2	Solution3	Solution4	Effort	RemediationPath	RemediationAssessment
147	Bootstrap 3.3.6 Specific	Overridden forms in widget 7	Custom forms lack ARIA for dynamic fields in widgets.	Dynamic fields in widgets have proper ARIA.	Test dynamic widget form with screen reader.	ARIA polyfill targeting widget forms	Core ARIA rules	a11y.scss enforcement	Theme script	Medium	Not remediated — requires JS/ServiceNow (dynamic field ARIA in custom widgets)	Not remediated | JS/ServiceNow | dynamic field ARIA in custom widgets.
148	Bootstrap 3.3.6 Specific	Overridden forms in widget 8	Widget forms have duplicate IDs from Bootstrap patterns.	No duplicate IDs in widget forms.	Run axe on widget; confirm unique IDs.	Unique ID prefix in widget templates	Core selector rule	a11y enforcement	Theme cleanup	Low	Not remediated — requires JS/ServiceNow (unique ID prefixes in widget templates)	Not remediated | JS/ServiceNow | unique ID prefixes in widget templates.
149	Bootstrap 3.3.6 Specific	Overridden forms in widget 9	Custom forms miss SnowBoots table header fixes when containing tables.	Tables inside widgets have proper headers.	Test widget with embedded table.	Extend table overrides to .widget table	Header vars	!important in a11y	Theme table standard	Low	Partially remediated — extend a11y.scss (.widget table th contrast); caption/scope need widget HTML	Partially remediated | a11y.scss + JS/ServiceNow | extend a11y.scss .widget table th contrast; caption/scope need widget HTML.
150	Bootstrap 3.3.6 Specific	Overridden forms in widget 10	Widget forms break reduced motion and focus persistence.	Widget forms respect reduced motion and persistent focus.	Test widget form with reduced motion emulation.	Reduced motion rules applied to widgets	Persistent focus extension	a11y.scss block	Theme script	Low	Partially remediated — reduced-motion and :focus-visible globally apply; extend a11y.scss for .widget-scoped rules	Partially remediated | a11y.scss + JS/ServiceNow | reduced-motion and :focus-visible global; extend .widget-scoped rules in a11y.scss.
151	Custom Widget	Reference icons skipped in tabbing	Reference icons in lists are skipped or not focusable in custom widgets.	All reference icons are keyboard reachable.	Tab through list with reference icons.	Add tabindex and role in core for reference classes	Focus styles	ARIA in a11y	Theme widget fix	Low	Not remediated — requires JS/ServiceNow (tabindex/role on reference icons in list widgets)	Not remediated | JS/ServiceNow | tabindex/role on reference icons in list widgets.
152	Custom Widget	Dark theme not inherited	Custom widgets do not inherit dark theme contrast fixes.	Widgets respect dark theme overrides.	Switch to dark theme and test widget.	Extend vars to widget classes	Dark mode media query	a11y dark rules	Theme dark variables	Medium	Not remediated — addressable in a11y.scss (dark-theme/high-contrast media queries for .widget — not yet implemented)	Not remediated | JS/ServiceNow | dark-theme/high-contrast media queries for .widget in a11y.scss — not yet implemented.
153	Custom Widget	Patterned charts missing	Charts in widgets lack pattern alternatives for color-blind users.	Charts have patterns or data tables.	Test chart widget with color-blind simulator.	Add pattern CSS or table fallback	Core chart rule	a11y pattern enforcement	Theme chart standard	Medium	Partially remediated — extend a11y.scss (chart pattern CSS); data table fallback needs ServiceNow widget markup	Partially remediated | a11y.scss + JS/ServiceNow | chart pattern CSS in a11y.scss; data table fallback needs SN widget markup.
154	Custom Widget	Jargon in content	Custom widgets use unexplained jargon without definitions.	All jargon has tooltips or expansions.	Screen reader test on widget content.	Add title or aria-describedby	Tooltip styles	Content guideline in docs	Theme help text	Low	Not remediated — requires JS/ServiceNow (content/tooltip definitions — authoring and widget help text)	Not remediated | JS/ServiceNow | jargon definitions are content/tooltip authoring in ServiceNow.
155	Custom Widget	Non-localized content	Widget content is not localized for screen reader language.	Content respects page lang attribute.	Test with screen reader language change.	HTML lang propagation to widgets	ARIA lang rules	Theme localization		Low	Not remediated — requires JS/ServiceNow (lang attribute propagation and localized widget content)	Not remediated | JS/ServiceNow | lang attribute propagation and localized widget content.
156	Custom Widget	Inconsistent components	Widgets use inconsistent button/form styles vs core.	All widgets match SnowBoots styles.	Visual comparison of widget vs core.	Broad widget class overrides in core	Vars reuse	a11y consistency block	Theme standard	Medium	Not remediated — addressable in a11y.scss	Not remediated | a11y.scss | Pending v0.2.0 implementation.
157	Custom Widget	Complex field no help	Complex custom fields lack help text or instructions.	Complex fields have associated help.	Test complex widget field.	Add aria-describedby for help	Help text styles	Theme field template		Low	Not remediated — requires JS/ServiceNow (aria-describedby help text in complex field widgets)	Not remediated | JS/ServiceNow | aria-describedby help text on complex fields in widget HTML.
158	Custom Widget	Inappropriate input types	Widgets use text inputs for dates/emails without proper types.	Inputs use semantic types (date, email).	Inspect widget inputs.	Override input types in widget templates	Core type enforcement	a11y type rules	Theme form standard	Low	Not remediated — requires JS/ServiceNow (input type=date/email in widget form templates)	Not remediated | JS/ServiceNow | input type=date/email in widget form templates.
159	Custom Widget	Missing date/time fields	Custom date/time fields lack proper ARIA and keyboard support.	Date/time fields are fully accessible.	Test date widget.	Extend date picker fixes to widgets	ARIA + keyboard	Theme script		Medium	Not remediated — requires JS/ServiceNow (date/time picker ARIA and keyboard support in widgets)	Not remediated | JS/ServiceNow | date/time picker ARIA and keyboard in widgets.
160	Custom Widget	Search bar not prominent	Custom search bars lack prominent focus and labeling.	Search bars are clearly labeled and focused.	Tab to search in widget.	Enhance search overrides for widgets	Focus + label rules	a11y search block	Theme search standard	Low	Partially remediated — extend a11y.scss (search input :focus-visible and contrast); label requires widget HTML	Partially remediated | a11y.scss + JS/ServiceNow | extend a11y.scss search :focus-visible/contrast; label needs widget HTML.
161	Bootstrap 3.3.6 Specific	Images in Suggested result no alt text (WCAG 1.1.1)	Search suggestion results in ServiceNow Service Portal display images without proper alt text, violating WCAG 1.1.1. Screen reader users receive no context about the suggested items, leading to poor navigation in search features.,	All images in search suggestions have descriptive alt text or are marked decorative with aria-hidden.,	Run search in litmus widget or real portal, inspect suggestions with axe-core; confirm no missing alt violations.,	Add alt text via widget templates in core-overrides.,	CSS fallback with aria-label for suggestion images.,	a11y.scss rule enforcing alt on search images.,	Theme search widget standardization.,	Medium	Not remediated — requires JS/ServiceNow (alt text on search suggestion images in search widget HTML)	Not remediated | JS/ServiceNow | Search suggestion image alt in search widget HTML.
162	Bootstrap 3.3.6 Specific	Search results images no defined names (WCAG 1.1.1)	Search result images lack accessible names (alt or aria-label), violating WCAG 1.1.1. Screen readers announce generic or no information for result thumbnails.,	Every search result image has a meaningful accessible name.,	Perform search and inspect results with screen reader; confirm proper announcement.,	Override search result image templates with alt in core-overrides.,	CSS + aria-label fallback.,	a11y.scss enforcement for search images.,	Theme search component update.,	Low	Not remediated — requires JS/ServiceNow (accessible names on search result thumbnails in widget templates)	Not remediated | JS/ServiceNow | Search result thumbnail accessible names in widget templates.
163	Bootstrap 3.3.6 Specific	Action menu decorative image in name (WCAG 1.1.1)	Action menu icons are included in accessible name without being marked decorative, causing screen readers to announce irrelevant icon descriptions in lists and tables.,	Decorative action menu images are properly hidden from screen readers.,	Inspect action menus in litmus widget; confirm icons are silent to screen readers.,	Add aria-hidden to action menu icons in core-overrides.,	CSS rule for decorative menu items.,	a11y.scss block for menus.,	Theme list action standardization.,	Low	Not remediated — requires JS/ServiceNow (aria-hidden on decorative action menu icons)	Not remediated | JS/ServiceNow | aria-hidden on decorative action menu icons in widget HTML.
164	Bootstrap 3.3.6 Specific	Cloud icon focusable (WCAG 1.1.1)	The cloud icon (loading or status) is focusable but has no purpose or label, violating WCAG 1.1.1 and 2.4.7.,	Non-interactive cloud icons are not focusable and have proper aria-hidden.,	Tab through page with loading states; confirm cloud icon is skipped.,	"Add tabindex=""-1"" and aria-hidden to cloud icons in core-overrides.,"	CSS rule for status icons.,	a11y.scss enforcement.,	Theme global icon fixes.,	Low	Not remediated — requires JS/ServiceNow (tabindex=-1 and aria-hidden on non-interactive status icons)	Not remediated | JS/ServiceNow | tabindex=-1 and aria-hidden on non-interactive cloud/status icons.
165	Bootstrap 3.3.6 Specific	Remove from Wishlist heading level 1 (WCAG 1.3.1)	Remove from Wishlist text uses heading level 1 incorrectly in catalog, violating WCAG 1.3.1 heading hierarchy.,	All headings follow proper hierarchy; no misuse of h1.,	Inspect wishlist section in litmus or catalog; confirm heading levels are correct.,	Change to appropriate heading level in widget templates in core-overrides.,	CSS styling for correct headings.,	a11y.scss rule for heading validation.,	Theme catalog widget update.,	Low	Not remediated — requires JS/ServiceNow (correct heading level in catalog wishlist widget HTML)	Not remediated | JS/ServiceNow | Correct heading level in catalog wishlist widget HTML.
166	Bootstrap 3.3.6 Specific	Radio group in Thanks dialog no association (WCAG 1.3.1)	"Radio buttons in ""Thanks"" dialog lack proper grouping and labels, violating WCAG 1.3.1.,"	Radio groups have fieldset/legend and associated labels.,	Open thanks dialog and inspect with axe-core; confirm grouping passes.,	Add fieldset/legend in dialog templates in core-overrides.,	CSS for group styling.,	a11y.scss enforcement.,	Theme dialog standardization.,	Low	Not remediated — requires JS/ServiceNow (fieldset/legend in Thanks dialog widget template)	Not remediated | JS/ServiceNow | fieldset/legend in Thanks dialog widget template.
167	Bootstrap 3.3.6 Specific	Required fields no required attribute (WCAG 1.3.1)	Required fields in forms lack aria-required or HTML5 required, violating WCAG 1.3.1.,	"All required fields have aria-required=""true"" and visible indicator.,"	Inspect forms in litmus widget; confirm required attributes present.,	Add aria-required to form fields in core-overrides.,	CSS var for required styling.,	a11y.scss rule.,	Theme form template update.,	Low	Not remediated — requires JS/ServiceNow (aria-required on required fields in form widgets)	Not remediated | JS/ServiceNow | aria-required on required form fields in widget templates.
168	Bootstrap 3.3.6 Specific	All headings level 4 on status page (WCAG 1.3.1)	Status page uses multiple h4 headings without proper hierarchy, violating WCAG 1.3.1.,	Headings follow logical hierarchy (h1-h6).,	Inspect status page; confirm proper heading structure.,	Update heading levels in status widget templates in core-overrides.,	CSS for heading styles.,	a11y.scss heading enforcement.,	Theme status page standardization.,	Low	Not remediated — requires JS/ServiceNow (heading hierarchy fix in status page widget HTML)	Not remediated | JS/ServiceNow | Heading hierarchy fix in status page widget HTML.
169	Bootstrap 3.3.6 Specific	Verbose add attachment description (WCAG 1.3.1)	Add Attachment button has verbose, redundant description read by screen readers, violating WCAG 1.3.1.,	Button accessible name is concise and clear.,	Inspect attachment button with screen reader; confirm concise name.,	Simplify accessible name in core-overrides templates.,	CSS for button text.,	a11y.scss rule.,	Theme attachment widget update.,	Low	Not remediated — requires JS/ServiceNow (concise accessible name on attachment button in widget markup)	Not remediated | JS/ServiceNow | Concise accessible name on attachment button in widget markup.
170	Bootstrap 3.3.6 Specific	Reset Password steps no list formatting (WCAG 1.3.1)	Reset password steps are not marked as ordered or unordered list, violating WCAG 1.3.1.,	Steps are properly marked as <ol> or <ul> with correct roles.,	Inspect reset password page; confirm list structure.,	Update steps to list markup in core-overrides.,	CSS for list styling.,	a11y.scss enforcement.,	Theme password reset standardization.,	Low	Not remediated — requires JS/ServiceNow (<ol>/<ul> list markup for reset password steps widget)	Not remediated | JS/ServiceNow | <ol>/<ul> list markup for reset password steps widget.
171	Bootstrap 3.3.6 Specific	? and checkmark announced twice (WCAG 1.3.1)	Question mark and checkmark icons are announced twice by screen readers due to duplicate text + icon, violating WCAG 1.3.1.,	Icons have single concise announcement or are hidden if decorative.,	Inspect icons with screen reader; confirm no duplicate announcements.,	Add aria-hidden to redundant icons in core-overrides.,	CSS rule for icon hiding.,	a11y.scss block.,	Theme icon standardization.,	Low	Not remediated — requires JS/ServiceNow (aria-hidden on redundant ?/checkmark icons in widget HTML)	Not remediated | JS/ServiceNow | aria-hidden on redundant ?/checkmark icons in widget HTML.
172	Bootstrap 3.3.6 Specific	Legend heading no markup (WCAG 1.3.1)	Legend text in forms is not marked as heading or proper label, violating WCAG 1.3.1.,	Legend text uses appropriate heading or label markup.,	Inspect forms with legends; confirm proper structure.,	Update legend markup in core-overrides.,	CSS for legend styling.,	a11y.scss enforcement.,	Theme form templates.,	Low	Not remediated — requires JS/ServiceNow (proper legend/label markup in form widgets)	Not remediated | JS/ServiceNow | Proper legend/label markup in form widgets.
173	Bootstrap 3.3.6 Specific	Date/time grouping announced thrice (WCAG 1.3.1)	Date/time fields announce grouping three times due to redundant labels, violating WCAG 1.3.1.,	Date/time groups announce once with clear context.,	Inspect date/time fields with screen reader; confirm single announcement.,	Simplify grouping markup in core-overrides.,	CSS for field grouping.,	a11y.scss rule.,	Theme date/time widget update.,	Low	Not remediated — requires JS/ServiceNow (simplify date/time grouping markup in widget templates)	Not remediated | JS/ServiceNow | Simplify date/time grouping markup in widget templates.
174	Bootstrap 3.3.6 Specific	Unnecessary list on attachment button (WCAG 1.3.1)	Attachment button is wrapped in unnecessary list markup, violating WCAG 1.3.1.,	Attachment buttons have clean non-list structure.,	Inspect attachment button; confirm no unnecessary list.,	Remove list wrapper in core-overrides templates.,	CSS for button.,	a11y.scss enforcement.,	Theme attachment component.,	Low	Not remediated — requires JS/ServiceNow (remove unnecessary list wrapper around attachment button)	Not remediated | JS/ServiceNow | Remove unnecessary list wrapper around attachment button.
175	Bootstrap 3.3.6 Specific	Tooltip not announced (WCAG 1.3.1)	Tooltips on hover/focus are not announced to screen readers, violating WCAG 1.3.1.,	Tooltips use aria-describedby or proper role for announcement.,	Hover/focus on tooltip elements; confirm announcement.,	Add aria-describedby to tooltip triggers in core-overrides.,	CSS for tooltip visibility.,	a11y.scss tooltip ARIA block.,	Theme tooltip standardization.,	Medium	Not remediated — requires JS/ServiceNow (tooltip aria-describedby and keyboard announcement)	Not remediated | JS/ServiceNow | tooltip aria-describedby and keyboard announcement via JS.
176	Bootstrap 3.3.6 Specific	Dismiss X announced twice (WCAG 1.3.1)	"Modal dismiss ""X"" button is announced twice due to duplicate text/icon, violating WCAG 1.3.1.,"	Dismiss button has single clear accessible name.,	Open modal and inspect close button with screen reader; confirm single announcement.,	Simplify dismiss button markup in core-overrides.,	CSS for close button.,	a11y.scss rule.,	Theme modal component.,	Low	Not remediated — requires JS/ServiceNow (modal dismiss button markup deduplication in widget HTML)	Not remediated | JS/ServiceNow | Modal dismiss button markup deduplication in widget HTML.
177	Bootstrap 3.3.6 Specific	Record link multiple references (WCAG 1.3.1)	Record links have multiple redundant references in accessible name, violating WCAG 1.3.1.,	Record links have concise unique accessible names.,	Inspect record links; confirm clean name.,	Clean accessible name in core-overrides templates.,	CSS for links.,	a11y.scss enforcement.,	Theme list/record link update.,	Low	Not remediated — requires JS/ServiceNow (concise accessible names on record links in list widgets)	Not remediated | JS/ServiceNow | Concise accessible names on record links in list widgets.
178	Bootstrap 3.3.6 Specific	Search icon announced thrice (WCAG 1.3.1)	Search icon is announced three times due to redundant text/icon/title, violating WCAG 1.3.1.,	Search icon has single concise announcement or is hidden.,	Inspect search icon with screen reader; confirm single announcement.,	Simplify search icon markup in core-overrides.,	CSS for icon.,	a11y.scss rule.,	Theme search component.,	Low	Not remediated — requires JS/ServiceNow (search icon markup simplification in search widget)	Not remediated | JS/ServiceNow | Search icon markup simplification in search widget.
179	Bootstrap 3.3.6 Specific	Article metadata not meaningful (WCAG 1.3.1)	Knowledge article metadata is not marked with proper headings or labels, violating WCAG 1.3.1.,	Article metadata uses semantic headings and labels.,	Inspect knowledge article; confirm meaningful structure.,	Update metadata markup in core-overrides.,	CSS for metadata.,	a11y.scss enforcement.,	Theme knowledge article template.,	Low	Not remediated — requires JS/ServiceNow (semantic headings/labels for article metadata in KB widget)	Not remediated | JS/ServiceNow | Semantic headings/labels for article metadata in KB widget.
180	Bootstrap 3.3.6 Specific	Metadata bypassed by screen reader (WCAG 1.3.1)	Some metadata is bypassed or not announced by screen readers due to improper markup, violating WCAG 1.3.1.,	All metadata is properly announced with correct roles.,	Inspect metadata sections with screen reader; confirm full announcement.,	Fix markup in core-overrides templates.,	CSS for visibility.,	a11y.scss block.,	Theme metadata standardization.,	Low	Not remediated — requires JS/ServiceNow (metadata markup/roles so screen readers announce content)	Not remediated | JS/ServiceNow | Metadata markup/roles for screen reader announcement in KB widget.
